!clef;sous_clef;geom;liste_classe;niveau;classe;traite_geom;attributs complements;;
highway;area;3;;osm;om_comm_place;3;nature;nom:name;
highway;;3;;osm;om_comm_place;3;nature;nom:name;
highway;;2;;osm;om_comm_troncon;2;nature;nom:name;
highway;;1;;osm;om_comm_poi_routes;1;nature;nom:name;
building;amenity;3;;osm;om_bati_batiment;3;nature:amenity;nom:name;famille:#equipement
building;leisure;3;;osm;om_bati_batiment;3;nature:leisure;nom:name;famille:#loisir
building;;3;;osm;om_bati_batiment;3;;nom:name;
building;;2;;osm;om_bati_batiment_l;2;;nom:name;
amenity;;2,3;groupes_equip;osm;om_eqpt_autre;2;;nom:name;
amenity;;1;groupes_poi;osm;om_eqpt_autre_pt;1;nature:amenity;nom:name;
leisure;;2,3;groupes_equip;osm;om_eqpt_loisir_autre;2;nature:leisure;nom:name;
leisure;;1;groupes_poi;osm;om_eqpt_loisir_autre_pt;1;nature:leisure;nom:name;
addr:housenumber;;1;;osm;om_bati_adresse;1;numero;;
waterway;;1;;osm;om_amgt_hydro_pt;1;nature;nom:name;
waterway;;2;;osm;om_amgt_hydro_l;2;nature;nom:name;
waterway;;3;;osm;om_amgt_hydro;3;nature;nom:name;
landuse;;2;;osm;om_occ_sol_l;2;nature;;
landuse;;3;groupes_occupation;osm;om_occ_sol_autre;3;nature;;
natural;;2;;osm;om_occ_sol_l;2;nature;;
natural;;3;groupes_nature;osm;om_occ_sol_zone_naturelle;3;nature;;
place;;1;;osm;om_limites_lieu;1;nature;nom:name;
place;;2,3;;osm;om_limites_delimitations;2;nature;nom:name;
boundary;;2,3;;osm;om_limites_delimitations;2;nature;nom:name;
barrier;;1;;osm;om_amgt_obstacle;1;nature;;
barrier;;2,3;;osm;om_amgt_cloture;2;nature;;
power;;1;;osm;om_amgt_pylone;1;nature;;
power;;2;;osm;om_amgt_ligne_ht;2;nature;;
*;;1;;osm;om_non_classe_divers_pt;1;;;
*;;2,3;;osm;om_non_classe_divers_l;2;;;
! Groupes;clef;geom;;niveau;classe;;;;
{groupes_occupation};forest;3;;osm;om_occ_sol_zone_naturelle;;;;
{groupes_occupation};basin;3;;osm;om_occ_sol_hydro;;;;
{groupes_occupation};cemetery;3;;osm;om_occ_sol_zone_amenagee;;;;
{groupes_occupation};construction;3;;osm;om_occ_sol_zone_amenagee;;;;
{groupes_occupation};industrial;3;;osm;om_occ_sol_zone_amenagee;;;;
{groupes_occupation};residential;3;;osm;om_occ_sol_zone_amenagee;;;;
{groupes_occupation};commercial;3;;osm;om_occ_sol_zone_amenagee;;;;
{groupes_occupation};garden;3;;osm;om_occ_sol_zone_amenagee;;;;
{groupes_occupation};park;3;;osm;om_occ_sol_zone_amenagee;;;;
{groupes_occupation};farm;3;;osm;om_occ_sol_zone_agricole;;;;
{groupes_occupation};farmland;3;;osm;om_occ_sol_zone_agricole;;;;
{groupes_occupation};meadow;3;;osm;om_occ_sol_zone_agricole;;;;
{groupes_occupation};orchard;3;;osm;om_occ_sol_zone_agricole;;;;
{groupes_occupation};vineyard;3;;osm;om_occ_sol_zone_agricole;;;;
{groupes_occupation};farmyard;3;;osm;om_occ_sol_zone_agricole;;;;
{groupes_occupation};scrub;3;;osm;om_occ_sol_zone_naturelle;;;;
{groupes_occupation};grass;3;;osm;om_occ_sol_zone_naturelle;;;;
{groupes_occupation};gras;3;;osm;om_occ_sol_zone_naturelle;;;;
{groupes_occupation};aquaculture;3;;osm;om_occ_sol_hydro;;;;
{groupes_occupation};water;3;;osm;om_occ_sol_hydro;;;;
{groupes_occupation};bassin;3;;osm;om_occ_sol_hydro;;;;
{groupes_nature};water;3;;osm;om_occ_sol_hydro;;;;
